CustomerID,Quantity,UnitPrice,Cluster,Cluster_Label,Color
12346.0,0,1.04,0,Regular Customers,C0
12347.0,2458,2.644010989010989,0,Regular Customers,C0
12348.0,2341,5.764838709677419,0,Regular Customers,C0
12349.0,631,8.289041095890411,0,Regular Customers,C0
12350.0,197,3.841176470588235,0,Regular Customers,C0
12352.0,470,23.274736842105263,0,Regular Customers,C0
12353.0,20,6.074999999999999,0,Regular Customers,C0
12354.0,530,4.5037931034482765,0,Regular Customers,C0
12355.0,240,4.203846153846154,0,Regular Customers,C0
12356.0,1591,3.201186440677966,0,Regular Customers,C0
12357.0,2708,3.3486259541984733,0,Regular Customers,C0
12358.0,248,8.27421052631579,0,Regular Customers,C0
12359.0,1612,8.760275590551181,0,Regular Customers,C0
12360.0,1165,3.5496899224806198,0,Regular Customers,C0
12361.0,91,3.335,0,Regular Customers,C0
12362.0,2212,3.9536131386861313,0,Regular Customers,C0
12363.0,408,2.3117391304347827,0,Regular Customers,C0
12364.0,1506,1.910235294117647,0,Regular Customers,C0
12365.0,173,30.347826086956523,0,Regular Customers,C0
12367.0,173,3.2,0,Regular Customers,C0
12370.0,2353,2.800299401197605,0,Regular Customers,C0
12371.0,591,3.8742857142857146,0,Regular Customers,C0
12372.0,794,3.001346153846154,0,Regular Customers,C0
12373.0,197,4.582142857142857,0,Regular Customers,C0
12374.0,342,4.21969696969697,0,Regular Customers,C0
12375.0,177,6.644444444444445,0,Regular Customers,C0
12377.0,944,2.718831168831169,0,Regular Customers,C0
12378.0,2529,2.9974429223744297,0,Regular Customers,C0
12379.0,406,2.84390243902439,0,Regular Customers,C0
12380.0,1126,3.3869523809523807,0,Regular Customers,C0
12381.0,783,4.582857142857143,0,Regular Customers,C0
12383.0,1529,3.0936000000000003,0,Regular Customers,C0
12384.0,121,7.575666666666667,0,Regular Customers,C0
12386.0,354,2.391,0,Regular Customers,C0
12388.0,1462,2.7777,0,Regular Customers,C0
12390.0,353,3.996875,0,Regular Customers,C0
12391.0,300,2.4599,0,Regular Customers,C0
12393.0,816,2.2796875,0,Regular Customers,C0
12394.0,819,3.3707407407407404,0,Regular Customers,C0
12395.0,2113,3.959685534591195,0,Regular Customers,C0
12397.0,1263,3.4682539682539684,0,Regular Customers,C0
12398.0,1394,1.992705882352941,0,Regular Customers,C0
12399.0,1178,2.1145762711864404,0,Regular Customers,C0
12401.0,11,9.68,0,Regular Customers,C0
12402.0,94,3.290909090909091,0,Regular Customers,C0
12403.0,95,8.9,0,Regular Customers,C0
12405.0,857,3.5442592592592597,0,Regular Customers,C0
12406.0,1809,2.8332407407407407,0,Regular Customers,C0
12407.0,1416,3.2674025974025973,0,Regular Customers,C0
12408.0,1399,3.128141592920354,0,Regular Customers,C0
12409.0,5543,3.526666666666667,0,Regular Customers,C0
12410.0,209,6.320357142857143,0,Regular Customers,C0
12412.0,829,2.7137704918032783,0,Regular Customers,C0
12413.0,282,5.25725,0,Regular Customers,C0
12414.0,300,8.57,0,Regular Customers,C0
12415.0,77242,3.2131362467866325,2,Wholesale Customers,C2
12417.0,1539,5.4254040404040405,0,Regular Customers,C0
12418.0,407,3.5644117647058824,0,Regular Customers,C0
12420.0,345,4.707241379310345,0,Regular Customers,C0
12421.0,483,4.438695652173913,0,Regular Customers,C0
12422.0,370,3.26025641025641,0,Regular Customers,C0
12423.0,1327,2.897222222222222,0,Regular Customers,C0
12424.0,740,2.780666666666667,0,Regular Customers,C0
12425.0,496,2.5644444444444443,0,Regular Customers,C0
12426.0,258,3.9363333333333332,0,Regular Customers,C0
12427.0,236,4.604857142857142,0,Regular Customers,C0
12428.0,3503,4.7293,0,Regular Customers,C0
12429.0,1557,3.6307216494845362,0,Regular Customers,C0
12430.0,117,6.225454545454546,0,Regular Customers,C0
12431.0,2868,3.7583333333333333,0,Regular Customers,C0
12432.0,1801,10.550833333333333,0,Regular Customers,C0
12433.0,11071,2.1927380952380955,0,Regular Customers,C0
12434.0,373,3.669074074074074,0,Regular Customers,C0
12435.0,2055,5.479166666666667,0,Regular Customers,C0
12436.0,211,5.2675,0,Regular Customers,C0
12437.0,2918,4.027114427860697,0,Regular Customers,C0
12438.0,1180,3.894897959183673,0,Regular Customers,C0
12441.0,121,3.700909090909091,0,Regular Customers,C0
12442.0,182,3.34,0,Regular Customers,C0
12444.0,1155,6.32276836158192,0,Regular Customers,C0
12445.0,62,7.9875,0,Regular Customers,C0
12446.0,352,4.277586206896552,0,Regular Customers,C0
12447.0,190,3.5742307692307693,0,Regular Customers,C0
12448.0,243,5.951818181818182,0,Regular Customers,C0
12449.0,1553,3.694712041884817,0,Regular Customers,C0
12450.0,128,1.6175,0,Regular Customers,C0
12451.0,6455,2.445577464788732,0,Regular Customers,C0
12452.0,183,4.3334782608695654,0,Regular Customers,C0
12453.0,473,2.393255813953488,0,Regular Customers,C0
12454.0,0,7.282,0,Regular Customers,C0
12455.0,2089,3.173333333333334,0,Regular Customers,C0
12456.0,1616,3.5765116279069766,0,Regular Customers,C0
12457.0,695,5.181911764705882,0,Regular Customers,C0
12458.0,506,4.326315789473685,0,Regular Customers,C0
12461.0,287,4.258857142857143,0,Regular Customers,C0
12462.0,514,4.616944444444445,0,Regular Customers,C0
12463.0,757,3.067159090909091,0,Regular Customers,C0
12464.0,112,11.832758620689654,0,Regular Customers,C0
12465.0,475,2.706274509803922,0,Regular Customers,C0
12468.0,364,3.47675,0,Regular Customers,C0
12471.0,7965,4.269058380414313,0,Regular Customers,C0
12472.0,4020,2.4811253196930947,0,Regular Customers,C0
12473.0,2363,13.619217877094973,0,Regular Customers,C0
12474.0,4764,2.914004376367615,0,Regular Customers,C0
12475.0,535,2.941111111111111,0,Regular Customers,C0
12476.0,2337,4.950492424242425,0,Regular Customers,C0
12477.0,3620,4.330746753246753,0,Regular Customers,C0
12478.0,236,4.537777777777778,0,Regular Customers,C0
12479.0,351,2.612285714285714,0,Regular Customers,C0
12480.0,1707,3.1344155844155845,0,Regular Customers,C0
12481.0,3290,3.401100917431193,0,Regular Customers,C0
12483.0,1097,5.977901234567902,0,Regular Customers,C0
12484.0,2185,3.1830857142857143,0,Regular Customers,C0
12488.0,529,3.7347272727272727,0,Regular Customers,C0
12489.0,105,5.908,0,Regular Customers,C0
12490.0,3064,2.692857142857143,0,Regular Customers,C0
12491.0,260,3.376923076923077,0,Regular Customers,C0
12492.0,192,3.3475,0,Regular Customers,C0
12493.0,206,4.858695652173913,0,Regular Customers,C0
12494.0,690,4.189761904761904,0,Regular Customers,C0
12497.0,1236,2.06,0,Regular Customers,C0
12498.0,159,4.197826086956522,0,Regular Customers,C0
12500.0,2671,5.876153846153846,0,Regular Customers,C0
12501.0,1722,2.42075,0,Regular Customers,C0
12502.0,820,6.425238095238095,0,Regular Customers,C0
12503.0,-1,1126.0,0,Regular Customers,C0
12504.0,51,9.446666666666665,0,Regular Customers,C0
12505.0,-1,4.5,0,Regular Customers,C0
12506.0,23,3.1956521739130435,0,Regular Customers,C0
12507.0,894,4.624782608695653,0,Regular Customers,C0
12508.0,272,1.7204347826086959,0,Regular Customers,C0
12509.0,55,5.564285714285715,0,Regular Customers,C0
12510.0,353,4.263333333333334,0,Regular Customers,C0
12512.0,99,2.5794117647058825,0,Regular Customers,C0
12513.0,456,2.2380555555555555,0,Regular Customers,C0
12514.0,440,3.296862745098039,0,Regular Customers,C0
12515.0,131,6.78125,0,Regular Customers,C0
12516.0,875,2.725769230769231,0,Regular Customers,C0
12517.0,1348,2.347832167832168,0,Regular Customers,C0
12518.0,1318,2.837177419354839,0,Regular Customers,C0
12519.0,183,2.9911111111111115,0,Regular Customers,C0
12520.0,1430,3.3941290322580646,0,Regular Customers,C0
12521.0,309,2.995789473684211,0,Regular Customers,C0
12522.0,194,5.0008333333333335,0,Regular Customers,C0
12523.0,861,5.157818181818182,0,Regular Customers,C0
12524.0,3699,2.9170833333333333,0,Regular Customers,C0
12526.0,632,3.3538028169014087,0,Regular Customers,C0
12527.0,234,2.9294444444444445,0,Regular Customers,C0
12528.0,750,5.393052631578947,0,Regular Customers,C0
12530.0,900,3.8892647058823533,0,Regular Customers,C0
12531.0,45,3.8094117647058825,0,Regular Customers,C0
12532.0,153,3.698125,0,Regular Customers,C0
12534.0,651,3.035396825396825,0,Regular Customers,C0
12535.0,219,4.451470588235294,0,Regular Customers,C0
12536.0,2652,48.55391941391942,0,Regular Customers,C0
12538.0,191,3.6433333333333335,0,Regular Customers,C0
12539.0,2066,10.423503649635036,0,Regular Customers,C0
12540.0,6677,3.8988357588357587,0,Regular Customers,C0
12541.0,680,3.615769230769231,0,Regular Customers,C0
12544.0,132,4.1135,0,Regular Customers,C0
12545.0,523,4.0238,0,Regular Customers,C0
12546.0,617,3.1714285714285713,0,Regular Customers,C0
